Accessi Sito Servizi On-Line,SESSIONI,UTENTI,VISUALIZZAZIONI_PAGINA
01-31 Gennaio 2018,57037,37743,140463
01-28 Febbraio 2018,41496,27478,107125
01-30 Marzo 2018,48462,31335,128384
01-30 Aprile 2018,60474,38400,169797
01-31 Maggio 2018,73511,45418,197771
01-30 Giugno 2018,51917,33372,144066
01-31 Luglio 2018,31897,48514,131735
01-31 Agosto 2018,23445,33758,91654
01-30 Settembre 2018,32988,49351,134142
01-31 Ottobre 2018,33333,51443,135415
01-31 Novembre 2018,53248,34986,135818
01-31 Dicembre 2018,44879,28842,113694